"From: Jun 1, 2015, 12:00:27 AM To: Jul 1, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:14:28 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Alcohol: Absolut","14","$10.50","0","$0.00","$10.50"
"Alcohol: Absolut Citron","1","$0.00","0","$0.00","$0.00"
"Alcohol: Bacardi Superior","2","$10.00","0","$0.00","$10.00"
"Alcohol: Baileys","8","$48.00","0","$0.00","$48.00"
"Alcohol: Beefeater","2","$12.00","0","$0.00","$12.00"
"Alcohol: Bloody Mary","14","$67.50","0","$0.00","$67.50"
"Alcohol: Bombay Sapphire","2","$11.50","0","$0.00","$11.50"
"Alcohol: Bourbon","3","$13.64","0","$0.00","$13.64"
"Alcohol: Brandy","3","$13.50","0","$0.00","$13.50"
"Alcohol: Bulleit Frontier Whiskey 10 year","3","$27.75","0","$0.00","$27.75"
"Alcohol: Campari","2","$13.50","0","$0.00","$13.50"
"Alcohol: Canadian Club","11","$44.00","0","$0.00","$44.00"
"Alcohol: Captain Morgan Spiced Rum","1","$5.50","0","$0.00","$5.50"
"Alcohol: Chopin ","1","$6.75","0","$0.00","$6.75"
"Alcohol: Cocktail","1","$6.00","0","$0.00","$6.00"
"Alcohol: Cosmopolitan","11","$73.50","0","$0.00","$73.50"
"Alcohol: Crown Royal","2","$12.50","0","$0.00","$12.50"
"Alcohol: Dewar's White Label","8","$50.00","0","$0.00","$50.00"
"Alcohol: DiSarrono","2","$13.00","0","$0.00","$13.00"
"Alcohol: Four Roses","1","$7.00","0","$0.00","$7.00"
"Alcohol: Frangelico","1","$6.25","0","$0.00","$6.25"
"Alcohol: Gin","4","$18.00","0","$0.00","$18.00"
"Alcohol: Glenlivet 12","4","$36.00","0","$0.00","$36.00"
"Alcohol: Grand Marnier","1","$7.75","0","$0.00","$7.75"
"Alcohol: Grey Goose","1","$6.75","0","$0.00","$6.75"
"Alcohol: Hendricks Gin","3","$18.00","0","$0.00","$18.00"
"Alcohol: Irish Coffee","1","$6.50","0","$0.00","$6.50"
"Alcohol: Jack Daniels ","7","$22.00","0","$0.00","$22.00"
"Alcohol: Jamesons Irish Whiskey","4","$26.00","0","$0.00","$26.00"
"Alcohol: Jefferson","3","$23.29","0","$0.00","$23.29"
"Alcohol: Jim Beam","5","$5.25","0","$0.00","$5.25"
"Alcohol: Ketel One","2","$12.50","0","$0.00","$12.50"
"Alcohol: Knob Creek","1","$7.50","0","$0.00","$7.50"
"Alcohol: LaPhroaig","4","$44.50","0","$0.00","$44.50"
"Alcohol: Light Rum","1","$3.50","0","$0.00","$3.50"
"Alcohol: Long Insland ","1","$7.00","0","$0.00","$7.00"
"Alcohol: Makers Mark","10","$56.50","0","$0.00","$56.50"
"Alcohol: Manhattan","22","$148.00","0","$0.00","$148.00"
"Alcohol: Margarita","1","$6.00","0","$0.00","$6.00"
"Alcohol: Martini","86","$691.25","0","$0.00","$691.25"
"Alcohol: Michter's S.B. Bourbon","1","$12.69","0","$0.00","$12.69"
"Alcohol: Mimosa","17","$85.00","0","$0.00","$85.00"
"Alcohol: Oban","1","$21.75","0","$0.00","$21.75"
"Alcohol: Old Fashioned","5","$34.50","0","$0.00","$34.50"
"Alcohol: Old Forester","2","$10.50","0","$0.00","$10.50"
"Alcohol: Peach Schnapps","1","$4.50","0","$0.00","$4.50"
"Alcohol: Pomegranate Fizz","6","$20.00","0","$0.00","$20.00"
"Alcohol: Sambuca","1","$6.25","0","$0.00","$6.25"
"Alcohol: Sauza Blue","2","$13.50","0","$0.00","$13.50"
"Alcohol: Savalle Espresso Martini","4","$40.00","0","$0.00","$40.00"
"Alcohol: Savalle French 75","6","$60.00","0","$0.00","$60.00"
"Alcohol: Savalle Ginger Rogers","8","$80.00","0","$0.00","$80.00"
"Alcohol: Savalle Hendricks Gardentini","10","$100.00","0","$0.00","$100.00"
"Alcohol: Savalle Lemon Drop","27","$269.00","0","$0.00","$269.00"
"Alcohol: Savalle Mojito","12","$120.00","0","$0.00","$120.00"
"Alcohol: Savalle Moscow Mule","12","$120.00","0","$0.00","$120.00"
"Alcohol: Savalle Pom Cosmo","29","$290.00","0","$0.00","$290.00"
"Alcohol: Scotch","1","$4.50","0","$0.00","$4.50"
"Alcohol: Screwdriver","6","$39.50","0","$0.00","$39.50"
"Alcohol: Sweet Vermouth","1","$4.25","0","$0.00","$4.25"
"Alcohol: Tanqueray","6","$34.00","0","$0.00","$34.00"
"Alcohol: Tequila","2","$9.50","0","$0.00","$9.50"
"Alcohol: Titos","6","$42.00","0","$0.00","$42.00"
"Alcohol: Vodka","10","$40.50","0","$0.00","$40.50"
"Alcohol: Whiskey Sour","3","$18.00","0","$0.00","$18.00"
"Alcohol: White Port","1","$10.00","0","$0.00","$10.00"
"Alcohol: White Russian","5","$29.00","0","$0.00","$29.00"
"Alcohol: Woodford Dbl Oak","3","$48.12","0","$0.00","$48.12"
"Beer: Becks","1","$4.50","0","$0.00","$4.50"
"Beer: Blue Moon","5","$20.00","0","$0.00","$20.00"
"Beer: Bud Light","10","$34.00","0","$0.00","$34.00"
"Beer: Fat Tire","7","$28.00","0","$0.00","$28.00"
"Beer: Finchs Secret Stash","2","$14.00","0","$0.00","$14.00"
"Beer: Lagunitas IPA","1","$4.50","0","$0.00","$4.50"
"Beer: Miller Light","11","$21.00","0","$0.00","$21.00"
"Beer: S.T.A. Brother Joesph Belgian Ale","7","$28.00","0","$0.00","$28.00"
"Beer: S.T.A. Monkeynaut","7","$28.00","0","$0.00","$28.00"
"Beer: S.T.A. Sand Island Lighthouse","1","$4.00","0","$0.00","$4.00"
"Beer: Spaten Octoberfest","7","$27.00","0","$0.00","$27.00"
"Beer: Spaten Optimator","5","$25.00","0","$0.00","$25.00"
"Beer: Stella Artois Lager","20","$74.50","0","$0.00","$74.50"
"Beer: Yuengling","4","$9.25","0","$0.00","$9.25"
"Food: Antipasta","21","$273.00","0","$0.00","$273.00"
"Food: Baby Spinach Full","4","$32.00","0","$0.00","$32.00"
"Food: Baby Spinach Half","24","$144.00","0","$0.00","$144.00"
"Food: Bacon Side","3","$6.00","0","$0.00","$6.00"
"Food: Beef Rouladen","6","$100.00","0","$0.00","$100.00"
"Food: Black Red Fish","7","$119.62","0","$0.00","$119.62"
"Food: Bleu Caesar Half","39","$214.00","0","$0.00","$214.00"
"Food: Blue Caesar Full","7","$48.00","0","$0.00","$48.00"
"Food: Bread Pudding","14","$90.00","0","$0.00","$90.00"
"Food: Brussel Sprouts","3","$15.00","0","$0.00","$15.00"
"Food: Caesar Full","1","$8.00","0","$0.00","$8.00"
"Food: Caesar Half","12","$66.00","0","$0.00","$66.00"
"Food: Cappellini","60","$988.61","0","$0.00","$988.61"
"Food: Charcutterie Board","20","$512.00","0","$0.00","$512.00"
"Food: Chicken Rav Entree","27","$486.00","0","$0.00","$486.00"
"Food: Chicken Schnitzel","61","$840.00","0","$0.00","$840.00"
"Food: Chicken Tenders","4","$28.00","0","$0.00","$28.00"
"Food: Creme Brulee","9","$63.00","0","$0.00","$63.00"
"Food: Dessert Special","40","$262.70","0","$0.00","$262.70"
"Food: Duck","17","$406.54","0","$0.00","$406.54"
"Food: Eggs Benidict","23","$309.00","0","$0.00","$309.00"
"Food: Escargot","30","$314.91","0","$0.00","$314.91"
