"From: Jul 1, 2015, 12:00:27 AM To: Aug 1, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:15:18 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Alcohol: Absolut","4","$23.00","0","$0.00","$23.00"
"Alcohol: Baileys","5","$30.00","0","$0.00","$30.00"
"Alcohol: Beefeater","7","$42.00","0","$0.00","$42.00"
"Alcohol: Bloody Mary","2","$10.00","0","$0.00","$10.00"
"Alcohol: Bourbon","1","$4.00","0","$0.00","$4.00"
"Alcohol: Canadian Club","1","$5.00","0","$0.00","$5.00"
"Alcohol: Captain Morgan Spiced Rum","8","$44.00","0","$0.00","$44.00"
"Alcohol: Chopin ","10","$27.00","0","$0.00","$27.00"
"Alcohol: Cosmopolitan","6","$48.75","0","$0.00","$48.75"
"Alcohol: Crown Royal","2","$12.50","0","$0.00","$12.50"
"Alcohol: Dewar's White Label","6","$37.50","0","$0.00","$37.50"
"Alcohol: DiSarrono","3","$19.50","0","$0.00","$19.50"
"Alcohol: Frangelico","2","$12.50","0","$0.00","$12.50"
"Alcohol: Gin","2","$3.50","0","$0.00","$3.50"
"Alcohol: Glenlivet 12","2","$26.10","0","$0.00","$26.10"
"Alcohol: Hendricks Gin","3","$12.50","0","$0.00","$12.50"
"Alcohol: Jack Daniels ","13","$66.00","0","$0.00","$66.00"
"Alcohol: Jefferson","1","$6.75","0","$0.00","$6.75"
"Alcohol: Ketel One","2","$12.50","0","$0.00","$12.50"
"Alcohol: Knob Creek","1","$7.50","0","$0.00","$7.50"
"Alcohol: LaPhroaig","1","$14.50","0","$0.00","$14.50"
"Alcohol: Light Rum","4","$18.00","0","$0.00","$18.00"
"Alcohol: Long Insland ","7","$48.00","0","$0.00","$48.00"
"Alcohol: Makers Mark","6","$39.00","0","$0.00","$39.00"
"Alcohol: Manhattan","9","$71.00","0","$0.00","$71.00"
"Alcohol: Margarita","1","$5.00","0","$0.00","$5.00"
"Alcohol: Martini","97","$738.50","0","$0.00","$738.50"
"Alcohol: Michter's S.B. Bourbon","4","$35.00","0","$0.00","$35.00"
"Alcohol: Mimosa","3","$15.00","0","$0.00","$15.00"
"Alcohol: Oban","3","$47.62","0","$0.00","$47.62"
"Alcohol: Old Fashioned","2","$18.50","0","$0.00","$18.50"
"Alcohol: Pomegranate Fizz","5","$25.00","0","$0.00","$25.00"
"Alcohol: Sambuca","5","$31.25","0","$0.00","$31.25"
"Alcohol: Savalle French 75","1","$10.00","0","$0.00","$10.00"
"Alcohol: Savalle Ginger Rogers","3","$30.00","0","$0.00","$30.00"
"Alcohol: Savalle Hendricks Gardentini","3","$30.00","0","$0.00","$30.00"
"Alcohol: Savalle Lemon Drop","18","$180.00","0","$0.00","$180.00"
"Alcohol: Savalle Mojito","5","$50.00","0","$0.00","$50.00"
"Alcohol: Savalle Moscow Mule","10","$100.00","0","$0.00","$100.00"
"Alcohol: Savalle Pom Cosmo","6","$50.00","0","$0.00","$50.00"
"Alcohol: Scotch","4","$17.00","0","$0.00","$17.00"
"Alcohol: Screwdriver","1","$6.00","0","$0.00","$6.00"
"Alcohol: Spiked Cider","2","$10.00","0","$0.00","$10.00"
"Alcohol: Tanqueray","6","$35.00","0","$0.00","$35.00"
"Alcohol: Titos","4","$28.00","0","$0.00","$28.00"
"Alcohol: Vodka","8","$29.50","0","$0.00","$29.50"
"Alcohol: Whiskey Sour","3","$18.00","0","$0.00","$18.00"
"Alcohol: White Russian","2","$9.00","0","$0.00","$9.00"
"Alcohol: Woodford Dbl Oak","4","$43.00","0","$0.00","$43.00"
"Alcohol: Woodford Dbl Select","3","$35.25","0","$0.00","$35.25"
"Beer: Blue Moon","4","$16.00","0","$0.00","$16.00"
"Beer: Bud Light","10","$35.00","0","$0.00","$35.00"
"Beer: Fat Tire","8","$32.00","0","$0.00","$32.00"
"Beer: Miller Light","8","$28.00","0","$0.00","$28.00"
"Beer: S.T.A. Brother Joesph Belgian Ale","3","$12.00","0","$0.00","$12.00"
"Beer: S.T.A. Milk Stout","8","$32.00","0","$0.00","$32.00"
"Beer: S.T.A. Monkeynaut","10","$40.00","0","$0.00","$40.00"
"Beer: Spaten Octoberfest","4","$18.00","0","$0.00","$18.00"
"Beer: Spaten Optimator","1","$5.00","0","$0.00","$5.00"
"Beer: Stella Artois Lager","10","$40.50","0","$0.00","$40.50"
"Beer: Yuengling","8","$22.50","0","$0.00","$22.50"
"Food: $1 Maison","13","$12.00","0","$0.00","$12.00"
"Food: Antipasta","7","$91.00","0","$0.00","$91.00"
"Food: Bleu Caesar Half","13","$78.00","0","$0.00","$78.00"
"Food: Blue Caesar Full","1","$8.00","0","$0.00","$8.00"
"Food: Bread Pudding","4","$20.00","0","$0.00","$20.00"
"Food: Brussel Sprouts","3","$10.00","0","$0.00","$10.00"
"Food: Caesar Full","3","$24.00","0","$0.00","$24.00"
