"From: Sep 1, 2015, 12:00:27 AM To: Sep 28, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:16:49 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Alcohol: Allens Amaretto","4","$0.00","0","$0.00","$0.00"
"Alcohol: Bacardi 151","3","$18.00","0","$0.00","$18.00"
"Alcohol: Baileys","1","$6.00","0","$0.00","$6.00"
"Alcohol: Balvenie Doublewood","1","$11.00","0","$0.00","$11.00"
"Alcohol: Bloody Mary","8","$40.00","0","$0.00","$40.00"
"Alcohol: Bombay Sapphire","16","$89.00","0","$0.00","$89.00"
"Alcohol: Bourbon","3","$13.50","0","$0.00","$13.50"
"Alcohol: Brandy","1","$3.50","0","$0.00","$3.50"
"Alcohol: Captain Morgan Spiced Rum","4","$22.00","0","$0.00","$22.00"
"Alcohol: Chambord Royale","1","$6.80","0","$0.00","$6.80"
"Alcohol: Chapala","1","$4.50","0","$0.00","$4.50"
"Alcohol: Chivas Regal","1","$7.50","0","$0.00","$7.50"
"Alcohol: Chopin ","5","$29.25","0","$0.00","$29.25"
"Alcohol: Cosmopolitan","4","$27.75","0","$0.00","$27.75"
"Alcohol: Crown Royal","2","$12.50","0","$0.00","$12.50"
"Alcohol: Dewar's White Label","1","$6.25","0","$0.00","$6.25"
"Alcohol: DiSarrono","6","$39.00","0","$0.00","$39.00"
"Alcohol: Frangelico","1","$6.25","0","$0.00","$6.25"
"Alcohol: Gin","1","$3.82","0","$0.00","$3.82"
"Alcohol: Grand Marnier","3","$23.25","0","$0.00","$23.25"
"Alcohol: Grey Goose","7","$45.25","0","$0.00","$45.25"
"Alcohol: Happy Hour ","13","$60.76","0","$0.00","$60.76"
"Alcohol: Hennessy VS","1","$7.50","0","$0.00","$7.50"
"Alcohol: Jack Daniels ","13","$74.10","0","$0.00","$74.10"
"Alcohol: Jamesons Irish Whiskey","1","$7.00","0","$0.00","$7.00"
"Alcohol: Johnnie Walker Black","1","$0.00","0","$0.00","$0.00"
"Alcohol: Kahlua","4","$22.00","0","$0.00","$22.00"
"Alcohol: Ketel One","15","$87.00","0","$0.00","$87.00"
"Alcohol: Knob Creek","3","$20.25","0","$0.00","$20.25"
"Alcohol: Light Rum","3","$13.50","0","$0.00","$13.50"
"Alcohol: Macallan 12","3","$47.77","0","$0.00","$47.77"
"Alcohol: Makers Mark","7","$43.52","0","$0.00","$43.52"
"Alcohol: Manhattan","2","$13.00","0","$0.00","$13.00"
"Alcohol: Margarita","8","$51.00","0","$0.00","$51.00"
"Alcohol: Martini","51","$393.45","0","$0.00","$393.45"
"Alcohol: Michter's S.B. Bourbon","2","$17.50","0","$0.00","$17.50"
"Alcohol: Mimosa","9","$45.00","0","$0.00","$45.00"
