SALES BY MENU ITEM REPORT
Time Range from 2016-11-01 00:00 to 2016-12-01 00:00
Menu Item,Sales Category,Menu Category,Menu Item Quantity,Menu Item Void Quantity,Voids,Sales,Sales Percentage,Records
House Special,Food,Specials,253.00,3.00,$49.00,"$5,954.11",13.48,262
Salmon,Food,Entree,61.00,2.00,$40.00,"$1,011.38",2.29,65
Lasagna Bolognese,Food,Pasta,67.00,2.00,$32.00,$994.80,2.25,66
Lunch Lasagna Bolognese,Food,Lunch,99.00,1.00,$10.00,$956.12,2.17,101
Lunch Chicken Piccata,Food,Specialities,62.00,0.00,$0.00,$868.00,1.97,23
Crab Stuff Flounder,Food,Entree,48.00,0.00,$0.00,$853.40,1.93,50
Chicken Piccata,Food,Entree,56.00,2.00,$36.00,$832.93,1.89,58
Petite Filet,Food,Entree,38.00,0.00,$0.00,$806.62,1.83,38
Chicken Parmigiano,Food,Pasta,52.00,0.00,$0.00,$803.84,1.82,53
Veal Marsala,Food,Entree,42.00,0.00,$0.00,$732.31,1.66,45
Lunch Fettuccine Chicken,Food,Lunch,70.00,7.00,$70.00,$651.00,1.47,77
 Cappellini Shrimp & Scallops,Food,Pasta,37.00,0.00,$0.00,$634.00,1.44,37
Jager Schnitzel,Food,Entree,38.00,0.00,$0.00,$619.59,1.40,38
Spaghetti Meatballs,Food,Pasta,36.00,2.00,$34.00,$599.50,1.36,41
Chicken Schnitzel,Food,Entree,38.00,0.00,$0.00,$545.31,1.24,39
Promessa P.G. Glass,Wine,White Glass,79.00,1.00,$7.00,$499.28,1.13,84
Joel Gott Cab Glass,Wine,Red Glass,61.00,4.00,$32.00,$488.00,1.11,79
Veal Picatta,Food,Entree,26.00,1.00,$19.00,$473.80,1.07,28
Blk Shrimp Tortellini,Food,Pasta,29.00,1.00,$18.00,$469.98,1.06,30
Capellini Shrimp Scampi,Food,Pasta,31.00,0.00,$0.00,$431.03,0.98,31
Fettuccine Chicken,Food,Pasta,26.00,0.00,$0.00,$398.20,0.90,26
