"From: May 5, 2015, 2:52:49 PM To: May 25, 2015, 5:22:11 PM
Generated On: May 25, 2015, 5:23:45 PM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Alcohol: Absolut","7","$37.38","0","$0.00","$37.38"
"Alcohol: Apple Pucker","5","$22.50","0","$0.00","$22.50"
"Alcohol: B&B","2","$16.50","0","$0.00","$16.50"
"Alcohol: Bacardi Superior","1","$5.00","0","$0.00","$5.00"
"Alcohol: Baileys","11","$54.00","0","$0.00","$54.00"
"Alcohol: Balvenie Doublewood","3","$29.00","0","$0.00","$29.00"
"Alcohol: Beefeater","7","$42.00","0","$0.00","$42.00"
"Alcohol: Black Russian","1","$1.80","0","$0.00","$1.80"
"Alcohol: Bloody Mary","32","$112.50","0","$0.00","$112.50"
"Alcohol: Bourbon","8","$28.50","0","$0.00","$28.50"
"Alcohol: Campari","1","$6.75","0","$0.00","$6.75"
"Alcohol: Canadian Club","16","$73.00","0","$0.00","$73.00"
"Alcohol: Captain Morgan Spiced Rum","23","$126.50","0","$0.00","$126.50"
"Alcohol: Chopin ","5","$15.75","0","$0.00","$15.75"
"Alcohol: Cosmopolitan","9","$60.75","0","$0.00","$60.75"
"Alcohol: Crown Royal","11","$67.75","0","$0.00","$67.75"
"Alcohol: Dewar's White Label","1","$5.25","0","$0.00","$5.25"
"Alcohol: DiSarrono","6","$39.00","0","$0.00","$39.00"
"Alcohol: Savalle Espresso Martini","9","$86.00","0","$0.00","$86.00"
"Alcohol: Frangelico","3","$18.75","0","$0.00","$18.75"
"Alcohol: Savalle French 75","3","$25.00","0","$0.00","$25.00"
"Alcohol: Gin","8","$30.50","0","$0.00","$30.50"
"Alcohol: Glenlivet 12","1","$8.00","0","$0.00","$8.00"
"Alcohol: Grand Marnier","7","$46.50","0","$0.00","$46.50"
"Alcohol: Grey Goose","5","$33.75","0","$0.00","$33.75"
"Alcohol: Hendricks Gin","3","$18.00","0","$0.00","$18.00"
"Alcohol: Jack Daniels ","19","$75.50","0","$0.00","$75.50"
"Alcohol: Jefferson","3","$20.25","0","$0.00","$20.25"
"Alcohol: Jim Beam","2","$7.88","0","$0.00","$7.88"
"Alcohol: Kahlua","3","$16.50","0","$0.00","$16.50"
"Alcohol: Savalle Lemon Drop","15","$124.00","0","$0.00","$124.00"
"Alcohol: Long Insland ","3","$21.00","0","$0.00","$21.00"
"Alcohol: Macallan 12","3","$34.30","0","$0.00","$34.30"
"Alcohol: Makers Mark","7","$44.50","0","$0.00","$44.50"
"Alcohol: Manhattan","14","$107.82","0","$0.00","$107.82"
"Alcohol: Margarita","3","$18.00","0","$0.00","$18.00"
"Alcohol: Martini","64","$478.38","0","$0.00","$478.38"
"Alcohol: Meyers Dark Rum","2","$11.50","0","$0.00","$11.50"
"Alcohol: Michter's S.B. Bourbon","10","$107.20","0","$0.00","$107.20"
"Alcohol: Mimosa","31","$141.00","0","$0.00","$141.00"
"Alcohol: Savalle Mojito","11","$104.00","0","$0.00","$104.00"
"Alcohol: Savalle Moscow Mule","14","$124.50","0","$0.00","$124.50"
"Alcohol: Oban","4","$80.25","0","$0.00","$80.25"
"Alcohol: Old Fashioned","1","$13.75","0","$0.00","$13.75"
"Alcohol: Old Forester","22","$5.25","0","$0.00","$5.25"
"Alcohol: Pomegranate Fizz","20","$57.50","0","$0.00","$57.50"
"Alcohol: Sambuca","3","$18.75","0","$0.00","$18.75"
"Alcohol: Sauza Blue","2","$13.50","0","$0.00","$13.50"
"Alcohol: Savalle Ginger Rogers","13","$113.00","0","$0.00","$113.00"
"Alcohol: Savalle Hendricks Gardentini","2","$20.00","0","$0.00","$20.00"
"Alcohol: Savalle Pom Cosmo","10","$100.00","0","$0.00","$100.00"
"Alcohol: Scotch","1","$4.50","0","$0.00","$4.50"
"Alcohol: Sidecar","1","$8.50","0","$0.00","$8.50"
"Alcohol: Smirnoff","1","$4.75","0","$0.00","$4.75"
"Alcohol: Sour Apple Martini","2","$14.00","0","$0.00","$14.00"
"Alcohol: Tanqueray","9","$40.00","0","$0.00","$40.00"
"Alcohol: Titos","8","$56.00","0","$0.00","$56.00"
"Alcohol: Tom Collins","1","$6.25","0","$0.00","$6.25"
"Alcohol: Vodka","15","$61.00","0","$0.00","$61.00"
"Alcohol: Whiskey Sour","4","$28.50","0","$0.00","$28.50"
"Alcohol: White Russian","2","$9.00","0","$0.00","$9.00"
"Alcohol: Woodford Dbl Select","4","$62.87","0","$0.00","$62.87"
"Beer: Astra","2","$9.00","0","$0.00","$9.00"
"Beer: Becks","1","$4.50","0","$0.00","$4.50"
"Beer: Blue Moon","12","$46.00","0","$0.00","$46.00"
"Beer: Bruton","4","$39.00","0","$0.00","$39.00"
"Beer: Bud Light","50","$152.54","0","$0.00","$152.54"
