"From: Sep 1, 2016, 9:32:52 AM To: Dec 8, 2016, 10:18:59 PM
Generated On: Dec 9, 2016, 2:13:24 PM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Alcohol: Absolut","13","$58.31","0","$0.00","$58.31"
"Alcohol: Absolut 2oz","11","$52.85","0","$0.00","$52.85"
"Alcohol: Absolut Up","25","$247.00","0","$0.00","$247.00"
"Alcohol: Al Capone","27","$228.30","0","$0.00","$228.30"
"Alcohol: Allens Amaretto","3","$12.00","0","$0.00","$12.00"
"Alcohol: Apple Bourbon Cool Toddy","18","$162.00","0","$0.00","$162.00"
"Alcohol: B&B","9","$61.45","0","$0.00","$61.45"
"Alcohol: B&B 2oz","1","$11.63","0","$0.00","$11.63"
"Alcohol: Bacardi Superior","4","$19.60","0","$0.00","$19.60"
"Alcohol: Baileys","48","$239.76","0","$0.00","$239.76"
"Alcohol: Beefeater","9","$49.55","0","$0.00","$49.55"
"Alcohol: Beefeater 2oz","1","$8.50","0","$0.00","$8.50"
"Alcohol: Beefeater Up","13","$128.97","0","$0.00","$128.97"
"Alcohol: Belvedere","4","$28.40","0","$0.00","$28.40"
"Alcohol: Belvedere Up","2","$22.86","0","$0.00","$22.86"
"Alcohol: Bloody Mary","107","$506.23","0","$0.00","$506.23"
"Alcohol: Red White & Blue Cosmo","27","$222.80","0","$0.00","$222.80"
"Alcohol: Bombay Sapphire","11","$66.20","0","$0.00","$66.20"
"Alcohol: Bombay Sapphire 2oz","3","$12.43","0","$0.00","$12.43"
"Alcohol: Bombay Sapphire Up","10","$103.12","0","$0.00","$103.12"
"Alcohol: Bourbon","11","$21.00","0","$0.00","$21.00"
"Alcohol: Bourbon 2oz","8","$32.06","0","$0.00","$32.06"
"Alcohol: Bourbon Up","2","$12.00","0","$0.00","$12.00"
"Alcohol: E&J VSOP","5","$3.24","0","$0.00","$3.24"
"Alcohol: Bulleit 2oz","3","$33.00","0","$0.00","$33.00"
"Alcohol: Bulleit","10","$53.79","0","$0.00","$53.79"
"Alcohol: Bushmills","2","$11.06","0","$0.00","$11.06"
"Alcohol: Campari","3","$4.02","0","$0.00","$4.02"
"Alcohol: Captain Morgan Spiced Rum","5","$27.70","0","$0.00","$27.70"
"Alcohol: Chambord Royale","1","$7.40","0","$0.00","$7.40"
"Alcohol: Chivas Regal","1","$7.20","0","$0.00","$7.20"
"Alcohol: Chivas Regal 2 Oz","2","$21.76","0","$0.00","$21.76"
"Alcohol: Chopin ","6","$13.50","0","$0.00","$13.50"
"Alcohol: Cosmopolitan","13","$91.75","0","$0.00","$91.75"
"Alcohol: Courvoisier VS","1","$6.90","0","$0.00","$6.90"
"Alcohol: Courvoisier VS 2oz","2","$20.76","0","$0.00","$20.76"
"Alcohol: Crown Royal","9","$56.65","0","$0.00","$56.65"
"Alcohol: Crown Royal 2oz","4","$38.00","0","$0.00","$38.00"
"Alcohol: Dewar's White Label","12","$74.48","0","$0.00","$74.48"
"Alcohol: Dewar's White Label 2oz","3","$18.00","0","$0.00","$18.00"
"Alcohol: DiSarrono","5","$32.50","0","$0.00","$32.50"
"Alcohol: Drambuie","3","$23.40","0","$0.00","$23.40"
"Alcohol: E&J VSOP 2oz","4","$22.82","0","$0.00","$22.82"
"Alcohol: Coopers Craft","2","$7.30","0","$0.00","$7.30"
"Alcohol: Coopers Craft 2oz","3","$0.10","0","$0.00","$0.10"
"Alcohol: Fallen Apple","4","$32.00","0","$0.00","$32.00"
"Alcohol: Four Roses","1","-$0.00","0","$0.00","-$0.00"
"Alcohol: Four Roses 2oz","1","$0.10","0","$0.00","$0.10"
"Alcohol: Frangelico","10","$57.00","0","$0.00","$57.00"
"Alcohol: French 75","4","$32.00","0","$0.00","$32.00"
"Alcohol: Gin","7","$25.25","0","$0.00","$25.25"
"Alcohol: Gin 2oz","2","$12.00","0","$0.00","$12.00"
"Alcohol: Gin Up","8","$54.00","0","$0.00","$54.00"
"Alcohol: Glenfiddich 12","4","$24.78","0","$0.00","$24.78"
"Alcohol: Glenlivet 12","15","$126.15","0","$0.00","$126.15"
"Alcohol: Glenlivet 12 2oz","9","$110.25","0","$0.00","$110.25"
"Alcohol: Grand Marnier","9","$51.95","0","$0.00","$51.95"
"Alcohol: Grasshopper","1","$9.00","0","$0.00","$9.00"
"Alcohol: Grey Goose","25","$158.47","0","$0.00","$158.47"
"Alcohol: Grey Goose 2oz","14","$140.00","0","$0.00","$140.00"
"Alcohol: Grey Goose Up","31","$357.47","0","$0.00","$357.47"
"Alcohol: Hendricks Gin","10","$71.80","0","$0.00","$71.80"
"Alcohol: Hendricks Gin 2oz","2","$21.76","0","$0.00","$21.76"
"Alcohol: Hendricks Mule","47","$399.55","0","$0.00","$399.55"
"Alcohol: Irish Coffee","1","$6.50","0","$0.00","$6.50"
"Alcohol: Italian Margarita","49","$372.00","0","$0.00","$372.00"
"Alcohol: Jack Daniels","69","$362.92","0","$0.00","$362.92"
"Alcohol: Jack Daniels 2oz","30","$155.80","0","$0.00","$155.80"
"Alcohol: Jack Daniels Up","11","$54.96","0","$0.00","$54.96"
"Alcohol: Jameson 2oz","2","$19.26","0","$0.00","$19.26"
"Alcohol: Jameson Up","2","$22.00","0","$0.00","$22.00"
"Alcohol: Jameson","7","$47.50","0","$0.00","$47.50"
"Alcohol: Jim Beam","9","$42.85","0","$0.00","$42.85"
"Alcohol: Jim Beam 2oz","2","$15.76","0","$0.00","$15.76"
"Alcohol: Southern Italian Tea","31","$223.00","0","$0.00","$223.00"
"Alcohol: Johnnie Red 2oz","1","$9.75","0","$0.00","$9.75"
"Alcohol: Johnnie Walker Black","2","$7.80","0","$0.00","$7.80"
"Alcohol: Johnnie Walker Black 2oz","1","$11.75","0","$0.00","$11.75"
"Alcohol: Jose Cuervo Especial","1","$5.75","0","$0.00","$5.75"
"Alcohol: Kahlua","2","$11.50","0","$0.00","$11.50"
"Alcohol: Ketel One 2oz","1","$1.88","0","$0.00","$1.88"
"Alcohol: Ketel One Up","14","$151.23","0","$0.00","$151.23"
"Alcohol: Kir Royale","1","$8.00","0","$0.00","$8.00"
